"";"sbjs";"c";"h";"1/h"
"1";"SRR957884";189;0,0125082188882232;79,9474336783096
"2";"SRR957885";82,5;0,0130605887887366;76,5662265442731
"3";"SRR957886";369,5;0,0452664052086687;22,0914383501453
"4";"SRR957887";106;0,0128717921339273;77,6892595526159
"5";"SRR957888";422;0,0126598352210428;78,989969659149
"6";"SRR957889";77;0,012530020246312;79,8083307402742
"7";"SRR957890";131,5;0,0164434388167856;60,8145298037776
"8";"SRR957891";356,5;0,0297829810522683;33,5762225495503
"9";"SRR957892";124;0,0123467079261616;80,9932498590243
"10";"SRR957893";239,5;0,0123636666932441;80,8821545267336
"11";"SRR957894";781;0,0253038808556167;39,5196296451907
"12";"SRR957895";147,5;0,0128917773880828;77,5688231263133
"13";"SRR957896";353,5;0,0347264903088201;28,7964603133537
"14";"SRR957897";169;0,0122322364747822;81,7511991418401
"15";"SRR957898";107;0,0125860089818314;79,4533041763723
"16";"SRR957899";176;0,0553385447983706;18,0705872126483
"17";"SRR957900";194;0,0609003710374894;16,420261206363
"18";"SRR957901";314,5;0,0625734810685516;15,981210936698
"19";"SRR957902";232,5;0,0551562053255292;18,1303262996076
"20";"SRR957903";46,5;0,0128645131034143;77,7332178809468
"21";"SRR957904";136,5;0,0432921186423771;23,0988926243294
"22";"SRR957905";114;0,0121295244403016;82,4434630493344
"23";"SRR957906";175,5;0,0317892507453713;31,4571742508151
"24";"SRR957907";268,5;0,0331167817897601;30,1961708220454
"25";"SRR957908";262,5;0,0216755465241242;46,1349382303708
"26";"SRR957909";81,5;0,0124025121869352;80,6288262351722
"27";"SRR957910";401;0,0339652167202135;29,441884862312
"28";"SRR957911";96;0,0122403318819422;81,6971312252791
"29";"SRR957912";411;0,0448814217589641;22,280934088285
"30";"SRR957913";32,5;0,0121711461139209;82,1615311031584
"31";"SRR957914";259;0,0129505175557285;77,216991189488
"32";"SRR957915";211,5;0,0250485196328745;39,9225189614626
"33";"SRR957916";264,5;0,17088217731145;5,85198536051774
"34";"SRR957917";204;0,0440055031700254;22,7244305362507
"35";"SRR957918";399;0,0283466232312247;35,277570518469
"36";"SRR957919";212,5;0,0455027961030926;21,9766714496922
"37";"SRR957920";172,5;0,047600569820187;21,0081518724994
"38";"SRR957921";163;0,0484026237192764;20,6600370632749
"39";"SRR957922";175;0,061269744496516;16,3212693021245
"40";"SRR957923";384,5;0,0125462351860776;79,7051852741996
"41";"SRR957924";151;0,012753611739289;78,4091612981586
"42";"SRR957925";1022,5;0,0998910869360351;10,0109031813854
"43";"SRR957926";220,5;0,0311546215591479;32,097966528063
"44";"SRR957927";339;0,014146775370277;70,68748699446
"45";"SRR957928";329,5;0,0213904445791184;46,7498464700547
"46";"SRR957929";334;0,036772818536109;27,1939992583939
"47";"SRR957930";412;0,041924871079794;23,8521902213304
"48";"SRR957931";263,5;0,0485878760057247;20,5812659907623
"49";"SRR957932";112,5;0,0128490435441788;77,8268045058533
"50";"SRR957933";114;0,0128795799520165;77,6422836556434
"51";"SRR957934";252;0,0545644135625335;18,326963211177
"52";"SRR957935";243,5;0,0816668517129548;12,2448702138639
"53";"SRR957936";374;0,0221069840316591;45,2345737694439
"54";"SRR957937";179,5;0,0477086876823576;20,9605430075536
"55";"SRR957938";372,5;0,0311071436069984;32,146956745171
"56";"SRR957939";268;0,0127695571047086;78,3112516589368
"57";"SRR957940";89,5;0,012301050044626;81,2938729923203
"58";"SRR957941";217,5;0,0640413879081898;15,6149020604239
"59";"SRR957942";231,5;0,0420677083210512;23,7712021859671
"60";"SRR957943";571,5;0,0280935188508009;35,5953985440842
"61";"SRR957944";460,5;0,0339279991015429;29,4741813982931
"62";"SRR957945";63,5;0,0129055500668771;77,4860424249997
"63";"SRR957946";68;0,0126925102605317;78,7866213596515
"64";"SRR957947";67;0,0130599541224371;76,5699473845769
"65";"SRR957948";325;0,0496296402613874;20,1492494149311
"66";"SRR957949";547;0,0423094478912994;23,6353828716739
"67";"SRR957950";407;0,0121886127200275;82,043791444523
"68";"SRR957951";205,5;0,0411152667668987;24,3218657845384
"69";"SRR957952";326,5;0,0327548772950906;30,5298044926544
"70";"SRR957953";85;0,0130814380615782;76,4441948425475
"71";"SRR957954";106,5;0,0128734666367825;77,6791542025492
"72";"SRR957955";56;0,0123295496744402;81,1059630241854
"73";"SRR957956";70,5;0,0127910117619037;78,1798984016543
"74";"SRR957957";150,5;0,012244400282653;81,6699860275498
"75";"SRR957958";145,5;0,0128715022786353;77,6910090487144
"76";"SRR957959";240,5;0,0712358156273937;14,0378823656713
"77";"SRR957960";481;0,0473144517004106;21,1351915548315
"78";"SRR957961";169;0,0449089886556526;22,2672571780156
"79";"SRR957962";163;0,012847057092499;77,8388383269404
"80";"SRR957963";700;0,0126892707366794;78,8067352924715
"81";"SRR957964";78,5;0,0123340977956839;81,0760557087471
"82";"SRR957965";142,5;0,0127885789701547;78,1947706882637
"83";"SRR957966";86;0,0128589116786904;77,7670789711684
"84";"SRR957967";105;0,0128917638890277;77,5689043491641
"85";"SRR957968";55;0,0121491438346281;82,3103268519833
"86";"SRR957969";39,5;0,0126287901299372;79,1841490523663
"87";"SRR957970";308,5;0,0126379602304958;79,126693055021
"88";"SRR957971";48,5;0,0130727361000906;76,4950804746273
"89";"SRR957972";60,5;0,0123805256306957;80,7720148424591
